"filename", "language", "Handlebars", "JSON", "Markdown", "JavaScript", "SCSS", "CSS", "XML", "comment", "blank", "total"
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\data\item\weapon.mjs", "JavaScript", 0, 0, 0, 236, 0, 0, 0, 16, 59, 311
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\documents\_module.mjs", "JavaScript", 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\documents\actor.mjs", "JavaScript", 0, 0, 0, 103, 0, 0, 0, 29, 19, 151
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\documents\item.mjs", "JavaScript", 0, 0, 0, 37, 0, 0, 0, 21, 12, 70
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\documents\proxy-manager.js", "JavaScript", 0, 0, 0, 45, 0, 0, 0, 17, 8, 70
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\elements\_module.mjs", "JavaScript", 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\elements\selectors.mjs", "JavaScript", 0, 0, 0, 74, 0, 0, 0, 0, 6, 80
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\dice.mjs", "JavaScript", 0, 0, 0, 204, 0, 0, 0, 48, 38, 290
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\effects.mjs", "JavaScript", 0, 0, 0, 48, 0, 0, 0, 12, 3, 63
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\hooks\_module.mjs", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 6, 6, 31
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\logger.mjs", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 14, 2, 47
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\preload-templates.mjs", "JavaScript", 0, 0, 0, 18, 0, 0, 0, 8, 6, 32
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\registerHelpers.mjs", "JavaScript", 0, 0, 0, 26, 0, 0, 0, 6, 2, 34
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\settings.mjs", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 4, 4, 46
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\helpers\sysUtil.mjs", "JavaScript", 0, 0, 0, 189, 0, 0, 0, 52, 33, 274
"e:\FoundryVTT\Launcher\Data\systems\newedo\module\newedo.mjs", "JavaScript", 0, 0, 0, 90, 0, 0, 0, 42, 23, 155
"e:\FoundryVTT\Launcher\Data\systems\newedo\package-lock.json", "JSON", 0, 9290, 0, 0, 0, 0, 0, 0, 1, 9291
"e:\FoundryVTT\Launcher\Data\systems\newedo\package.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
"e:\FoundryVTT\Launcher\Data\systems\newedo\system.json", "JSON", 0, 237, 0, 0, 0, 0, 0, 0, 0, 237
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\actor-sheet.hbs", "Handlebars", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\augments.hbs", "Handlebars", 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\biography.hbs", "Handlebars", 49, 0, 0, 0, 0, 0, 0, 0, 7, 56
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\body.hbs", "Handlebars", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\equipment.hbs", "Handlebars", 36, 0, 0, 0, 0, 0, 0, 0, 9, 45
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\fates.hbs", "Handlebars", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\header.hbs", "Handlebars", 38, 0, 0, 0, 0, 0, 0, 0, 1, 39
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\magic.hbs", "Handlebars", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\panel.hbs", "Handlebars", 82, 0, 0, 0, 0, 0, 0, 8, 2, 92
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\skills.hbs", "Handlebars", 27, 0, 0, 0, 0, 0, 0, 0, 0, 27
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\character\traits.hbs", "Handlebars", 66, 0, 0, 0, 0, 0, 0, 0, 10, 76
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\npc\body.hbs", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\npc\panel.hbs", "Handlebars", 25, 0, 0, 0, 0, 0, 0, 5, 0, 30
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\pet\actor-pet-sheet.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\actor\vehicle\actor-vehicle-sheet.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-attribute.hbs", "Handlebars", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-background.hbs", "Handlebars", 27, 0, 0, 0, 0, 0, 0, 0, 4, 31
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-creator.hbs", "Handlebars", 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-item.hbs", "Handlebars", 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-skill.hbs", "Handlebars", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-title.hbs", "Handlebars", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\feature\feature-trait.hbs", "Handlebars", 78, 0, 0, 0, 0, 0, 0, 0, 4, 82
"e:\FoundryVTT\Launcher\Data\systems\newedo\templates\dialog\ledger.hbs", "Handlebars", 47, 0, 0, 0, 0, 0, 0, 0, 0, 47
